contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
QQQ250911C00515000,2025-09-02 15:44:03+00:00,515.0,46.54,67.56,71.06,0.0,0.0,,1,1.6630876220703126,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00520000,2025-09-11 14:43:06+00:00,520.0,62.26,62.7,66.07,3.0900002,5.222241,1.0,3,1.565920139160156,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00530000,2025-09-11 18:31:52+00:00,530.0,54.3,53.37,55.55,5.8899994,12.166906,2.0,2,1.2402381738281247,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00535000,2025-09-09 17:44:10+00:00,535.0,45.53,48.94,50.08,0.0,0.0,2.0,3,1.0078174609375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00540000,2025-09-11 18:21:28+00:00,540.0,44.2,43.5,45.11,4.670002,11.813817,42.0,52,0.9311530322265625,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00545000,2025-09-11 15:27:40+00:00,545.0,39.4,38.14,40.56,3.3199997,9.201773,18.0,27,0.9584965087890623,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00548000,2025-09-04 14:51:50+00:00,548.0,25.16,34.99,37.74,0.0,0.0,,1,0.938477177734375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00550000,2025-09-11 18:33:50+00:00,550.0,34.31,33.41,34.83,3.920002,12.898986,4.0,81,0.6650424121093752,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00551000,2025-08-29 18:18:51+00:00,551.0,21.65,31.9,34.79,0.0,0.0,2.0,1,0.8881847119140623,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00552000,2025-09-11 17:05:43+00:00,552.0,31.67,31.14,32.84,0.5,1.6041065,17.0,19,0.6357458300781251,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00553000,2025-09-09 17:44:10+00:00,553.0,26.9,30.82,31.85,0.0,0.0,2.0,33,0.62305064453125,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00554000,2025-09-11 17:36:09+00:00,554.0,30.33,29.22,30.78,5.16,20.500595,4.0,20,0.5805706005859376,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00555000,2025-09-11 15:21:35+00:00,555.0,29.19,28.17,30.78,3.1499996,12.096772,201.0,223,0.805666005859375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00557000,2025-09-10 18:07:07+00:00,557.0,24.34,26.81,27.92,0.0,0.0,5.0,19,0.5786174951171875,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00558000,2025-09-11 18:11:44+00:00,558.0,26.48,26.33,26.82,5.5200005,26.335882,2.0,102,0.5302781347656251,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00559000,2025-09-11 18:36:45+00:00,559.0,25.37,25.3,25.75,1.1500015,4.7481484,2.0,31,0.4887746435546876,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00560000,2025-09-11 18:20:54+00:00,560.0,24.24,24.56,24.83,4.5,22.796352,40.0,55,0.500005,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00561000,2025-09-11 14:53:53+00:00,561.0,22.43,23.39,23.78,2.2399998,11.0946,36.0,43,0.4672904833984375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00562000,2025-09-11 14:02:35+00:00,562.0,21.96,22.64,22.81,3.6699982,20.0656,11.0,68,0.46045461425781253,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00563000,2025-09-10 19:57:00+00:00,563.0,18.21,20.69,22.35,0.0,0.0,7.0,259,0.567387138671875,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00564000,2025-09-11 18:34:24+00:00,564.0,20.28,20.61,20.75,3.960001,24.264711,15.0,88,0.40820904296875,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00565000,2025-09-11 17:56:02+00:00,565.0,19.31,19.63,19.79,3.0599995,18.830765,12.0,62,0.40430283203125,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00566000,2025-09-11 18:38:59+00:00,566.0,18.43,18.67,18.78,3.2300005,21.250004,11.0,163,0.38477177734374995,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00567000,2025-09-11 16:35:20+00:00,567.0,17.1,17.65,17.77,3.6000004,26.66667,79.0,83,0.36475244628906256,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00568000,2025-09-11 18:26:23+00:00,568.0,16.4,16.74,16.86,4.5599995,38.513508,18.0,139,0.3715883154296875,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00569000,2025-09-11 14:16:10+00:00,569.0,13.76,15.64,15.77,1.2700005,10.1681385,20.0,245,0.331061376953125,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00570000,2025-09-11 18:35:03+00:00,570.0,14.29,14.67,14.81,3.29,29.90909,78.0,291,0.3242255078124999,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00571000,2025-09-11 16:04:17+00:00,571.0,13.79,13.73,13.86,3.6000004,35.32876,19.0,262,0.31836619140624994,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00572000,2025-09-11 17:58:54+00:00,572.0,12.57,12.62,12.75,3.5299997,39.048668,41.0,267,0.274421318359375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00573000,2025-09-11 18:47:43+00:00,573.0,11.57,11.62,11.76,3.21,38.39713,353.0,424,0.25928475097656256,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00574000,2025-09-11 18:43:34+00:00,574.0,10.55,10.72,10.85,2.88,37.548893,486.0,678,0.2612378564453125,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00575000,2025-09-11 18:27:27+00:00,575.0,9.21,9.66,9.78,2.5500002,38.288292,629.0,1271,0.22852333984375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00576000,2025-09-11 18:43:37+00:00,576.0,8.6,8.74,8.88,2.9300003,51.67549,511.0,1078,0.22852333984375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00577000,2025-09-11 18:47:48+00:00,577.0,7.56,7.65,7.76,2.75,57.172558,1193.0,1140,0.187508125,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00578000,2025-09-11 18:31:28+00:00,578.0,6.57,6.69,6.77,2.5100002,61.82267,2470.0,1452,0.17041845214843754,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00579000,2025-09-11 18:41:36+00:00,579.0,5.55,5.67,5.8,2.2500002,68.18183,2658.0,1731,0.1562584375,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00580000,2025-09-11 18:50:05+00:00,580.0,4.72,4.78,4.86,2.1,80.15267,6003.0,2812,0.1445398046875,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00581000,2025-09-11 18:50:02+00:00,581.0,3.75,3.68,3.76,1.71,83.82353,10894.0,3583,0.10913976806640624,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00582000,2025-09-11 18:50:03+00:00,582.0,2.78,2.72,2.79,1.25,81.69935,42649.0,4917,0.0913176806640625,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00583000,2025-09-11 18:50:46+00:00,583.0,1.83,1.75,1.79,0.72,64.86486,102447.0,7121,0.06763627685546877,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00584000,2025-09-11 18:50:46+00:00,584.0,0.97,0.96,0.97,0.18,23.076923,202134.0,6214,0.0561617822265625,True,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00585000,2025-09-11 18:50:53+00:00,585.0,0.32,0.32,0.33,-0.20999998,-38.88889,223335.0,4967,0.044199011230468745,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00586000,2025-09-11 18:50:44+00:00,586.0,0.09,0.08,0.09,-0.27,-75.0,67108.0,5373,0.043710734863281246,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00587000,2025-09-11 18:48:35+00:00,587.0,0.02,0.02,0.03,-0.21000001,-91.304344,29240.0,3897,0.04883763671875,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00588000,2025-09-11 18:49:57+00:00,588.0,0.01,0.01,0.02,-0.12,-85.71429,23415.0,4771,0.059579716796875,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00589000,2025-09-11 18:47:17+00:00,589.0,0.01,0.0,0.01,-0.07,-87.5,16644.0,2831,0.06641558593750001,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00590000,2025-09-11 18:50:05+00:00,590.0,0.01,0.0,0.01,-0.04,-80.00001,9155.0,5851,0.07813421875000001,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00591000,2025-09-11 18:34:06+00:00,591.0,0.01,0.0,0.01,-0.03,-75.0,3747.0,2172,0.09180595703125,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00592000,2025-09-11 18:45:40+00:00,592.0,0.01,0.0,0.01,-0.02,-66.66667,3447.0,2590,0.10352458984374999,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00593000,2025-09-11 16:52:21+00:00,593.0,0.01,0.0,0.01,-0.01,-50.0,2624.0,3147,0.11524322265625,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00594000,2025-09-11 18:14:22+00:00,594.0,0.01,0.0,0.01,-0.01,-50.0,346.0,2468,0.12696185546875,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00595000,2025-09-11 16:05:27+00:00,595.0,0.01,0.0,0.01,0.0,0.0,577.0,750,0.13868048828125001,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00600000,2025-09-11 17:21:32+00:00,600.0,0.01,0.0,0.01,0.0,0.0,410.0,2349,0.195320546875,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00605000,2025-09-11 13:49:49+00:00,605.0,0.01,0.0,0.01,0.0,0.0,2.0,43,0.2500075,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00610000,2025-09-10 16:15:46+00:00,610.0,0.01,0.0,0.01,0.0,0.0,2.0,132,0.304694453125,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00615000,2025-09-10 13:58:02+00:00,615.0,0.01,0.0,0.01,0.0,0.0,12.0,138,0.35156898437499995,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00625000,2025-09-02 14:07:49+00:00,625.0,0.02,0.0,0.01,0.0,0.0,106.0,206,0.45313046875,False,REGULAR,USD,QQQ,2025-09-11
QQQ250911C00630000,2025-09-05 17:56:17+00:00,630.0,0.01,0.0,0.01,0.0,0.0,212.0,212,0.500005,False,REGULAR,USD,QQQ,2025-09-11
