contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
QQQ250912P00350000,2025-09-05 14:06:02+00:00,350.0,0.01,0.0,0.01,0.0,0.0,1.0,1251,2.000005,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00355000,2025-09-02 19:45:31+00:00,355.0,0.01,0.0,0.01,0.0,0.0,650.0,1745,1.9375003125,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00360000,2025-09-03 14:39:58+00:00,360.0,0.01,0.0,0.01,0.0,0.0,60.0,760,1.9062504687500001,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00365000,2025-09-03 16:02:20+00:00,365.0,0.01,0.0,0.01,0.0,0.0,,530,1.875000625,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00370000,2025-09-03 17:52:35+00:00,370.0,0.01,0.0,0.01,0.0,0.0,320.0,431,1.8125009374999999,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00375000,2025-09-03 17:24:40+00:00,375.0,0.01,0.0,0.01,0.0,0.0,,1000,1.75000125,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00380000,2025-09-03 16:14:05+00:00,380.0,0.01,0.0,0.01,0.0,0.0,,2009,1.6875015625,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00385000,2025-09-02 14:21:22+00:00,385.0,0.03,0.0,0.01,0.0,0.0,,12,1.65625171875,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00390000,2025-09-05 16:40:27+00:00,390.0,0.01,0.0,0.01,0.0,0.0,10.0,36,1.625001875,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00395000,2025-09-05 15:28:14+00:00,395.0,0.01,0.0,0.01,0.0,0.0,1.0,373,1.5625021874999998,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00400000,2025-09-05 13:46:01+00:00,400.0,0.01,0.0,0.01,0.0,0.0,70.0,747,1.5000025,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00405000,2025-09-05 17:56:33+00:00,405.0,0.01,0.0,0.01,0.0,0.0,10.0,147,1.46875265625,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00410000,2025-09-05 16:35:03+00:00,410.0,0.01,0.0,0.01,0.0,0.0,1.0,103,1.4375028125,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00415000,2025-09-09 14:52:23+00:00,415.0,0.01,0.0,0.01,0.0,0.0,30.0,72,1.3750031249999999,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00420000,2025-09-05 20:03:30+00:00,420.0,0.01,0.0,0.01,0.0,0.0,3.0,18,1.3125034374999998,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00425000,2025-09-05 19:59:52+00:00,425.0,0.01,0.0,0.01,0.0,0.0,6.0,75,1.2812535937499998,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00430000,2025-09-08 17:41:20+00:00,430.0,0.01,0.0,0.01,0.0,0.0,21.0,762,1.2500037499999999,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00435000,2025-09-04 18:23:40+00:00,435.0,0.01,0.0,0.01,0.0,0.0,29.0,81,1.1875040625,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00440000,2025-09-05 16:18:12+00:00,440.0,0.03,0.0,0.01,0.0,0.0,7.0,130,1.15625421875,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00445000,2025-09-10 19:54:26+00:00,445.0,0.01,0.0,0.01,0.0,0.0,50.0,211,1.125004375,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00450000,2025-09-08 14:37:40+00:00,450.0,0.01,0.0,0.01,0.0,0.0,22.0,225,1.0625046875000002,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00451000,2025-09-05 15:59:56+00:00,451.0,0.01,0.0,0.01,0.0,0.0,8.0,3,1.0625046875000002,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00452000,2025-09-05 16:01:02+00:00,452.0,0.01,0.0,0.01,0.0,0.0,8.0,0,1.0625046875000002,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00453000,2025-09-05 18:22:38+00:00,453.0,0.02,0.0,0.01,0.0,0.0,2.0,1,1.0312548437500002,False,REGULAR,USD,QQQ,2025-09-12
QQQ250912P00455000,2025-09-10 19:49:46+00:00,455.0,0.01,0.0,0.01,0.0,0.0,10.0,80,1.0312548437500002,False,REGULAR,USD,QQQ,2025-09-12
