contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
SPY250911P00500000,2025-09-05 19:10:31+00:00,500.0,0.01,0.0,0.01,0.0,0.0,10.0,236,1.5625021874999998,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00505000,2025-09-03 17:10:08+00:00,505.0,0.03,0.0,0.01,0.0,0.0,116.0,316,1.5000025,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00510000,2025-09-02 14:44:15+00:00,510.0,0.08,0.0,0.01,0.0,0.0,,1,1.4375028125,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00515000,2025-09-04 14:36:36+00:00,515.0,0.02,0.0,0.01,0.0,0.0,,21,1.40625296875,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00520000,2025-09-05 18:37:49+00:00,520.0,0.02,0.0,0.01,0.0,0.0,28.0,33,1.3437532812499997,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00525000,2025-09-05 18:23:35+00:00,525.0,0.02,0.0,0.01,0.0,0.0,40.0,169,1.3125034374999998,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00530000,2025-09-05 15:56:40+00:00,530.0,0.03,0.0,0.01,0.0,0.0,10.0,11,1.2500037499999999,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00535000,2025-09-08 13:51:33+00:00,535.0,0.01,0.0,0.01,0.0,0.0,208.0,261,1.1875040625,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00540000,2025-09-11 13:33:32+00:00,540.0,0.01,0.0,0.01,0.0,0.0,5.0,1034,1.15625421875,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00545000,2025-09-08 19:28:54+00:00,545.0,0.01,0.0,0.01,0.0,0.0,1089.0,1237,1.09375453125,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00550000,2025-09-11 18:02:57+00:00,550.0,0.01,0.0,0.01,0.0,0.0,25.0,615,1.0625046875000002,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00555000,2025-09-11 13:59:45+00:00,555.0,0.01,0.0,0.01,0.0,0.0,50.0,37,1.000005,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00560000,2025-09-11 18:36:51+00:00,560.0,0.01,0.0,0.01,0.0,0.0,9.0,181,0.937500625,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00563000,2025-09-10 19:33:22+00:00,563.0,0.01,0.0,0.01,0.0,0.0,5.0,5,0.92187578125,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00565000,2025-09-11 13:58:26+00:00,565.0,0.01,0.0,0.01,0.0,0.0,1.0,54,0.9062509375,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00570000,2025-09-10 19:32:16+00:00,570.0,0.01,0.0,0.01,0.0,0.0,11.0,670,0.8437515624999999,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00571000,2025-09-08 15:02:12+00:00,571.0,0.01,0.0,0.01,0.0,0.0,6.0,4,0.8437515624999999,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00572000,2025-09-10 13:33:42+00:00,572.0,0.01,0.0,0.01,0.0,0.0,240.0,241,0.8437515624999999,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00575000,2025-09-11 14:10:28+00:00,575.0,0.01,0.0,0.01,-0.01,-50.0,180.0,895,0.8125018749999999,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00577000,2025-09-10 20:08:49+00:00,577.0,0.01,0.0,0.01,0.0,0.0,109.0,115,0.7812521875,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00579000,2025-09-10 20:07:36+00:00,579.0,0.01,0.0,0.01,0.0,0.0,100.0,187,0.7656273437500001,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00580000,2025-09-10 20:06:00+00:00,580.0,0.01,0.0,0.01,0.0,0.0,574.0,1419,0.7500025,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00582000,2025-09-10 19:59:00+00:00,582.0,0.01,0.0,0.01,0.0,0.0,1369.0,1368,0.73437765625,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00584000,2025-09-11 17:00:17+00:00,584.0,0.01,0.0,0.01,-0.01,-50.0,1.0,114,0.7187528125,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00585000,2025-09-10 15:25:11+00:00,585.0,0.01,0.0,0.01,0.0,0.0,2.0,24,0.7187528125,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00586000,2025-09-10 15:25:11+00:00,586.0,0.02,0.0,0.01,0.0,0.0,1.0,417,0.70312796875,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00588000,2025-09-11 14:02:55+00:00,588.0,0.01,0.0,0.01,-0.01,-50.0,20.0,62,0.6875031250000001,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00589000,2025-09-09 19:42:46+00:00,589.0,0.02,0.0,0.01,0.0,0.0,3.0,40,0.6718782812500002,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00590000,2025-09-10 19:40:55+00:00,590.0,0.01,0.0,0.01,0.0,0.0,1.0,421,0.6562534375000001,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00592000,2025-09-11 13:41:22+00:00,592.0,0.01,0.0,0.01,-0.01,-50.0,10.0,1010,0.64062859375,False,REGULAR,USD,SPY,2025-09-11
SPY250911P00593000,2025-09-10 13:38:12+00:00,593.0,0.01,0.0,0.01,0.0,0.0,2.0,25,0.6250037500000001,False,REGULAR,USD,SPY,2025-09-11
