contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry
SPY250915C00570000,2025-09-10 20:06:17+00:00,570.0,82.5,86.09,89.24,0.0,0.0,3,2,0.7912618530273439,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00575000,2025-09-10 14:48:40+00:00,575.0,79.09,81.04,84.34,0.0,0.0,1,2,0.76367423828125,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00590000,2025-09-11 17:16:53+00:00,590.0,67.51,66.15,69.28,5.5200005,8.904663,229,0,0.6407506628417969,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00600000,2025-09-11 15:33:14+00:00,600.0,58.0,56.15,59.2,7.419998,14.669826,6,7,0.5555464367675782,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00605000,2025-09-11 18:17:07+00:00,605.0,52.66,50.99,54.3,4.5999985,9.571365,3,3,0.52539537109375,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00610000,2025-09-09 15:54:10+00:00,610.0,39.15,46.12,49.29,0.0,0.0,21,31,0.48511257080078124,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00614000,2025-09-05 14:50:39+00:00,614.0,31.44,42.21,45.3,0.0,0.0,1,1,0.454107021484375,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00615000,2025-09-11 17:38:28+00:00,615.0,42.6,41.19,44.33,4.949997,13.147402,28,33,0.4484918432617187,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00620000,2025-09-11 15:20:23+00:00,620.0,37.87,36.23,39.35,7.869999,26.23333,2,32,0.40955180297851557,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00622000,2025-09-05 14:15:21+00:00,622.0,28.17,35.94,36.07,0.0,0.0,6,6,0.27197993652343744,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00623000,2025-09-08 18:16:20+00:00,623.0,25.9,34.82,34.95,0.0,0.0,2,2,0.24463645996093752,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00625000,2025-09-10 15:32:44+00:00,625.0,28.06,32.88,33.02,0.0,0.0,4,19,0.24488059814453128,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00629000,2025-09-11 17:36:52+00:00,629.0,28.72,28.86,29.0,4.34,17.801477,30,0,0.21631643066406248,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00630000,2025-09-11 18:16:50+00:00,630.0,27.8,27.89,28.02,5.6499996,25.507898,21,70,0.21314263427734376,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00631000,2025-09-10 19:58:30+00:00,631.0,23.49,26.82,26.96,1.3099995,5.906219,1,5,0.19727365234375,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00632000,2025-09-11 13:44:20+00:00,632.0,22.31,25.91,26.04,1.7799988,8.670233,1,8,0.20313296874999998,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00634000,2025-09-11 13:54:24+00:00,634.0,21.59,23.97,24.11,1.6499996,8.274823,1,7,0.1986164123535156,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00635000,2025-09-11 17:29:52+00:00,635.0,22.52,22.87,22.98,5.2700005,30.550728,303,185,0.1753012158203125,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00636000,2025-09-11 18:47:00+00:00,636.0,22.04,21.91,22.03,8.690001,65.093636,2,4,0.17554535400390625,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00637000,2025-09-10 19:06:17+00:00,637.0,21.06,20.91,21.04,5.7199993,37.28813,7,32,0.17017431396484378,True,REGULAR,USD,SPY,2025-09-15
SPY250915C00638000,2025-09-11 15:35:19+00:00,638.0,19.98,19.92,20.05,6.0,42.918457,12,50,0.16480327392578126,True,REGULAR,USD,SPY,2025-09-15
